id;desc_ar;desc_en;code;img_path;time_in_sec;type;weight;score;start_at;submit_at;category_id;question_id;seq;status
1;Global SAS;Borders;invoice;Granite Administrator Maryland;28254;67109;70778;19225;2022-11-01T16:43:29;2022-11-02T03:35:43;37891;81240;60401;66592
2;mint;Director e-commerce;1080p initiative Keyboard;hacking Wooden;40961;53621;2687;26137;2022-11-01T14:30:53;2022-11-02T07:06:34;15195;72698;88879;30302
3;Mouse;Plastic interfaces;initiative Customer e-enable;wireless bypassing;4681;57363;34768;76252;2022-11-01T19:49:08;2022-11-01T19:58:47;49284;6939;84305;48712
4;Home;Tactics;Engineer 5th;Fresh;28024;73043;93203;97621;2022-11-02T04:36:29;2022-11-01T17:11:12;41124;3365;17406;74965
5;Bike Table Up-sized;strategize synergistic;uniform coherent Concrete;Frozen XSS;20608;9081;41510;95344;2022-11-01T09:30:18;2022-11-01T08:32:44;95915;13872;70025;6057
6;Books Center function;Liaison Frozen;maximize hack Keyboard;Coordinator deposit transition;36042;63097;96733;97710;2022-11-01T18:59:46;2022-11-01T23:53:19;7662;94621;89784;11671
7;Borders Fantastic synergize;analyzing Consultant;withdrawal systems index;Technician object-oriented Liechtenstein;76552;39704;77632;69582;2022-11-01T15:11:12;2022-11-01T10:00:43;12261;36162;75754;93277
8;Gorgeous Checking users;JBOD Vista clicks-and-mortar;SQL Money;virtual;89260;91160;86277;75550;2022-11-01T17:07:04;2022-11-01T23:48:33;60789;38946;75833;53299
9;logistical;back-end Cook;reinvent;Franc lime;17183;3974;4645;77271;2022-11-02T04:35:20;2022-11-01T10:23:58;78697;11396;78792;92971
10;lavender Account matrices;Rubber Intranet Rapids;Steel;CSS Florida;74690;95473;64452;59990;2022-11-02T04:58:07;2022-11-01T15:16:04;83120;26174;39247;77811
